"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2003","Luke Allen","Rockies","2","2","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","-0.4","-1.0","0.0","-0.1","1586"
"2009","Guillermo Rodriguez","Orioles","7","7","0","1","1","0","28.6 %","14.3 %",".000",".000",".000",".286",".000",".202","10","-0.2","-1.0","-0.2","-0.1","7011"
"2006","Kevin Millar","Orioles","132","503","15","64","64","1","11.7 %","14.7 %",".165",".297",".272",".374",".437",".356","113","-7.5","0.6","-19.0","-0.1","529"
"2002","Warren Morris","Twins","4","7","0","0","0","0","0.0 %","14.3 %",".000",".000",".000",".000",".000",".000","-100","0.1","-1.8","0.7","-0.1","1424"
"2006","Ryan Roberts","Blue Jays","9","14","1","1","1","0","7.1 %","28.6 %",".231",".000",".077",".143",".308",".191","3","-0.4","-2.2","0.7","-0.1","5653"
"2003","Matt Diaz","Devil Rays","4","10","0","2","0","0","10.0 %","30.0 %",".000",".167",".111",".200",".111",".160","-14","0.2","-1.2","-0.1","-0.1","1771"
"2005","Luis Gonzalez","Rockies","128","442","9","51","44","3","4.5 %","14.3 %",".129",".325",".292",".333",".421",".330","88","-7.5","-14.2","-1.1","-0.1","1860"
"2000","Luis Saturria","Cardinals","12","6","0","1","0","0","16.7 %","50.0 %",".000",".000",".000",".167",".000",".120","-44","0.0","-1.2","0.0","-0.1","1011455"
"2006","Brendan Harris","- - -","25","47","1","5","3","0","8.5 %","14.9 %",".119",".265",".238",".319",".357",".303","80","-1.3","-2.6","0.0","-0.1","2178"
"2002","Ryan Langerhans","Braves","1","1","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.3","-0.7","-0.1","98"
"2004","Paul Bako","Cubs","49","157","1","13","10","1","9.6 %","18.5 %",".080",".248",".203",".288",".283",".254","45","0.7","-10.5","4.2","-0.1","676"
"2005","JD Closser","Rockies","92","272","7","31","27","1","11.8 %","17.6 %",".156",".246",".219",".314",".376",".305","72","-0.1","-9.6","-0.2","-0.1","2108"
"2005","Denny Hocking","Royals","23","71","0","14","7","0","14.1 %","14.1 %",".017",".320",".267",".371",".283",".309","84","0.4","-0.9","-2.4","-0.1","730"
"2001","Jesse Levis","Brewers","12","36","0","6","3","0","8.3 %","19.4 %",".061",".308",".242",".306",".303",".275","61","0.0","-1.8","-0.3","-0.1","1007569"
"2008","Paul Bako","Reds","99","338","6","30","35","0","10.1 %","26.6 %",".110",".289",".217",".299",".328",".278","60","-1.9","-18.8","6.9","-0.1","676"
"2004","Brian Daubach","Red Sox","30","86","2","9","8","0","11.6 %","24.4 %",".187",".288",".227",".326",".413",".325","92","-0.9","-1.8","-2.1","-0.1","186"
"2005","Russ Johnson","Yankees","22","20","0","5","0","0","5.0 %","20.0 %",".111",".286",".222",".300",".333",".286","72","-0.1","-0.8","-0.8","-0.1","1216"
"2004","Danny Ardoin","Rangers","6","11","0","1","1","0","27.3 %","18.2 %",".000",".167",".125",".364",".125",".274","53","0.1","-0.6","-0.8","-0.1","585"
"2004","Ramon Vazquez","Padres","52","132","1","12","13","1","8.3 %","18.2 %",".087",".283",".235",".297",".322",".269","64","0.9","-5.2","-0.2","-0.1","1058"
"2006","Cody Ross","- - -","101","298","13","34","46","1","7.4 %","21.8 %",".204",".249",".227",".293",".431",".311","85","-0.2","-6.1","-4.8","-0.1","1760"
"2009","Marlon Anderson","Mets","4","4","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.1","0.0","-0.1","947"
"2001","Kevin Witt","Padres","14","30","2","5","5","0","6.7 %","23.3 %",".222",".158",".185",".233",".407",".268","63","0.0","-1.5","-0.5","-0.1","362"
"2005","Dan Ortmeier","Giants","15","26","0","1","1","1","11.5 %","19.2 %",".000",".176",".136",".269",".136",".212","20","-0.3","-2.9","1.1","-0.1","4694"
"2007","Paul Phillips","Royals","8","15","0","2","2","0","6.7 %","6.7 %",".071",".154",".143",".200",".214",".191","3","0.0","-1.8","0.3","-0.1","2032"
"2002","Bruce Aven","Indians","7","21","0","1","0","1","19.0 %","19.0 %",".000",".154",".118",".286",".118",".219","27","-0.3","-2.2","0.5","-0.1","366"
"2006","Raul Chavez","Orioles","16","29","0","1","0","0","3.4 %","13.8 %",".000",".208",".179",".207",".179",".178","-5","0.3","-3.7","1.6","-0.1","553"
"2000","Chad Curtis","Rangers","108","381","8","48","48","3","9.7 %","18.6 %",".152",".320",".272",".343",".424",".338","91","-0.7","-5.6","-8.8","-0.1","1002898"
"2007","Vinny Rottino","Brewers","8","9","0","0","3","0","0.0 %","11.1 %",".111",".250",".222",".222",".333",".239","37","0.0","-0.7","-0.6","-0.1","5202"
"2009","J.R. Towles","Astros","16","53","2","7","3","0","5.7 %","30.2 %",".167",".233",".188",".250",".354",".259","52","0.0","-3.2","0.5","-0.1","7348"
"2004","Darnell McDonald","Orioles","17","34","0","3","1","1","5.9 %","17.6 %",".031",".192",".156",".206",".188",".183","1","0.7","-3.6","1.4","-0.1","1867"
"2002","Alex Arias","Yankees","6","8","0","0","0","0","12.5 %","25.0 %",".000",".000",".000",".125",".000",".088","-61","0.1","-1.5","0.2","-0.1","123"
"2000","Chris Jones","Brewers","12","17","0","3","1","0","5.9 %","23.5 %",".125",".250",".188",".235",".313",".242","33","0.0","-1.5","-0.1","-0.1","1006539"
"2003","Travis Chapman","Phillies","1","1","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.3","-0.7","-0.1","1840"
"2000","Lou Collier","Brewers","14","39","1","9","2","0","15.4 %","10.3 %",".125",".214",".219",".333",".344",".308","76","0.0","-1.3","-1.0","-0.1","1438"
"2001","Juan Rivera","Yankees","3","4","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.1","0.0","-0.1","843"
"2001","Tony Fernandez","- - -","76","134","2","11","15","1","6.0 %","12.7 %",".081",".324",".293",".338",".374",".315","87","-1.1","-3.3","-2.2","-0.1","1004002"
"2000","Enrique Wilson","- - -","80","263","5","27","27","2","6.8 %","9.1 %",".134",".307",".293",".340",".427",".333","90","-0.5","-4.0","-5.7","-0.1","858"
"2006","Chris Stewart","White Sox","6","8","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-2.3","1.0","-0.1","3878"
"2001","Chris Donnels","Dodgers","66","101","3","8","8","0","11.9 %","24.8 %",".125",".200",".170",".277",".295",".253","53","0.0","-6.2","1.8","-0.1","1396"
"2003","Shea Hillenbrand","- - -","134","554","20","60","97","1","4.3 %","12.6 %",".188",".286",".280",".314",".468",".331","95","-2.2","-5.9","-13.6","-0.1","196"
"2003","Rontrez Johnson","Royals","8","3","0","3","0","0","0.0 %","66.7 %",".000","1.000",".333",".333",".333",".297","72","0.1","0.0","-1.1","-0.1","1651"
"2004","Donnie Murphy","Royals","7","27","0","1","3","1","0.0 %","25.9 %",".111",".250",".185",".185",".296",".204","9","0.1","-3.1","1.1","-0.1","4704"
"2001","Milton Bradley","- - -","77","262","1","22","19","8","8.0 %","24.8 %",".109",".302",".223",".288",".332",".276","58","-0.6","-15.0","5.2","-0.1","369"
"2002","Barry Larkin","Reds","145","567","7","72","47","13","7.8 %","10.1 %",".122",".260",".245",".305",".367",".290","70","2.8","-18.3","-1.2","-0.1","335"
"2005","Jim Thome","Phillies","59","242","7","26","30","0","18.6 %","24.4 %",".145",".256",".207",".360",".352",".321","90","-3.6","-6.8","-2.1","-0.1","409"
"2003","Matt Watson","Mets","15","25","0","0","2","0","4.0 %","20.0 %",".087",".222",".174",".208",".261",".208","20","0.0","-2.6","0.7","-0.1","1846"
"2003","Trent Durrington","Angels","12","17","0","5","1","1","17.6 %","0.0 %",".000",".143",".143",".294",".143",".229","34","0.8","-0.6","-1.0","-0.1","1805"
"2009","Chris Denorfia","Athletics","4","2","0","1","1","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","-0.5","-0.1","4400"
"2008","Chris Aguila","Mets","8","15","0","0","0","0","13.3 %","26.7 %",".000",".250",".167",".286",".167",".229","33","-0.6","-1.9","0.4","-0.1","2143"
"2000","Joe Vitiello","Padres","39","63","2","7","8","0","15.9 %","14.3 %",".173",".262",".250",".365",".423",".350","110","0.0","0.8","-3.8","-0.1","1748"
"2008","Brian Barden","Cardinals","9","10","0","0","1","0","0.0 %","40.0 %",".000",".400",".222",".222",".222",".199","14","0.2","-0.9","-0.4","-0.1","4429"
"2000","Eddie Zosky","Astros","4","4","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.2","0.0","-0.1","1014459"
"2001","Dave Berg","Marlins","82","235","4","26","16","0","6.0 %","16.6 %",".121",".276",".242",".292",".363",".287","73","-0.4","-8.9","0.2","-0.1","1288"
"2008","Chris Stewart","Yankees","1","3","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","-0.3","-0.1","3878"
"2006","Jay Gibbons","Orioles","90","378","13","34","46","0","8.5 %","12.7 %",".181",".290",".277",".341",".458",".344","105","-5.0","-2.7","-11.4","-0.1","141"
"2007","Doug Mirabelli","Red Sox","48","127","5","9","16","0","8.7 %","32.3 %",".158",".265",".202",".278",".360",".284","64","-2.0","-7.7","2.3","-0.1","202"
"2001","Raul Gonzalez","Reds","11","15","0","0","0","0","6.7 %","20.0 %",".000",".273",".214",".267",".214",".224","26","0.0","-1.4","-0.1","-0.1","1553"
"2004","Andy Tracy","Rockies","15","17","0","1","1","0","5.9 %","47.1 %",".063",".375",".188",".235",".250",".220","11","0.1","-1.8","0.2","-0.1","2024"
"2004","Cody Ransom","Giants","78","78","1","13","11","2","7.7 %","25.6 %",".132",".340",".250",".320",".382",".311","85","-0.4","-1.9","-1.8","-0.1","1126"
"2003","Mike Glavine","Mets","6","7","0","0","0","0","0.0 %","28.6 %",".000",".200",".143",".143",".143",".127","-33","0.0","-1.2","-0.1","-0.1","1847"
"2000","Jason Maxwell","Twins","64","124","1","14","11","2","7.3 %","25.8 %",".081",".321",".243",".298",".324",".280","56","0.0","-7.5","1.8","-0.1","1008288"
"2006","Kevin Barker","Blue Jays","12","18","1","3","1","0","5.6 %","55.6 %",".235",".500",".235",".278",".471",".317","86","0.3","0.0","-1.7","-0.1","1019"
"2001","Jalal Leach","Giants","8","12","0","0","1","0","16.7 %","25.0 %",".000",".143",".100",".250",".100",".191","11","0.0","-1.4","-0.1","-0.1","1007425"
"2004","Greg Dobbs","Mariners","18","56","1","4","9","0","1.8 %","25.0 %",".075",".282",".226",".250",".302",".242","43","0.9","-3.2","0.2","-0.1","2158"
"2004","Joe Thurston","Dodgers","17","18","0","1","1","0","0.0 %","27.8 %",".176",".231",".176",".167",".353",".205","18","0.1","-1.8","0.1","-0.1","673"
"2007","Joey Votto","Reds","24","89","4","11","17","1","5.6 %","16.9 %",".226",".354",".321",".360",".548",".386","127","-1.1","2.1","-6.1","-0.1","4314"
"2009","Jose Lobaton","Padres","7","17","0","0","0","0","0.0 %","29.4 %",".000",".250",".176",".176",".176",".158","-9","-0.3","-2.6","1.0","-0.1","4243"
"2001","Johnny Estrada","Phillies","89","324","8","26","37","0","4.9 %","9.9 %",".131",".229",".228",".273",".359",".267","58","0.0","-17.8","6.1","-0.1","955"
"2008","John Jaso","Rays","5","10","0","2","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".179","1","-0.2","-1.4","0.0","-0.1","5887"
"2005","Enrique Wilson","Cubs","15","25","0","1","0","0","12.0 %","4.0 %",".091",".143",".136",".240",".227",".220","23","0.3","-2.1","0.2","-0.1","858"
"2001","Terry Jones","Expos","30","79","0","8","2","3","2.5 %","13.9 %",".065",".303",".260",".278",".325",".265","50","0.6","-4.5","0.8","-0.1","1006596"
"2009","Delwyn Young","Pirates","124","388","7","40","43","2","7.5 %","23.2 %",".116",".337",".266",".326",".381",".315","90","-3.7","-8.6","-4.9","-0.1","4563"
"2002","Travis Hafner","Rangers","23","70","1","6","6","0","11.4 %","21.4 %",".145",".304",".242",".329",".387",".313","83","0.2","-1.3","-2.1","-0.1","1573"
"2002","Cesar Crespo","Padres","25","33","0","5","0","3","9.1 %","18.2 %",".069",".217",".172",".250",".241",".228","38","0.1","-2.5","0.4","-0.1","1024"
"2003","Tom Gregorio","Angels","12","21","0","1","2","0","4.8 %","38.1 %",".000",".273",".158",".238",".158",".196","11","0.0","-2.3","0.5","-0.1","1831"
"2002","Greg LaRocca","Indians","21","60","0","12","4","1","10.0 %","10.0 %",".096",".304",".269",".367",".365",".333","103","-0.4","-0.2","-2.9","-0.1","1582"
"2009","Tyler Colvin","Cubs","6","20","0","1","2","0","10.0 %","25.0 %",".000",".231",".176",".250",".176",".205","10","0.2","-2.0","0.3","-0.1","5310"
"2003","Graham Koonce","Athletics","6","8","0","0","0","0","0.0 %","75.0 %",".125",".500",".125",".125",".250",".156","-16","0.1","-1.1","-0.3","-0.1","1851"
"2002","Dmitri Young","Tigers","54","216","7","25","27","2","5.6 %","18.1 %",".174",".321",".284",".329",".458",".333","105","-2.4","-0.9","-7.4","-0.1","505"
"2004","Mark Johnson","Brewers","7","15","0","1","2","0","20.0 %","13.3 %",".000",".100",".091",".267",".091",".165","-13","0.3","-1.9","0.3","-0.1","240"
"2007","Lyle Overbay","Blue Jays","122","476","10","49","44","2","9.9 %","16.4 %",".151",".271",".240",".315",".391",".309","84","-2.0","-11.4","-6.2","-0.1","1617"
"2007","Aaron Miles","Cardinals","133","449","2","55","32","2","5.6 %","8.9 %",".058",".313",".290",".328",".348",".302","79","1.4","-11.0","-4.9","-0.1","1844"
"2005","Josh Bard","Indians","34","95","1","6","9","0","9.5 %","11.6 %",".084",".205",".193",".266",".277",".246","46","0.1","-6.2","1.9","-0.1","1578"
"2001","Alberto T. Castillo","Blue Jays","66","146","1","9","4","1","4.8 %","20.5 %",".053",".250",".198",".255",".252",".232","32","-0.2","-12.7","6.5","-0.1","812"
"2000","Mark Johnson","Mets","21","27","1","2","6","0","18.5 %","33.3 %",".136",".250",".182",".333",".318",".306","78","0.0","-0.8","-1.2","-0.1","1376"
"2008","Steve Pearce","Pirates","37","119","4","6","15","2","4.2 %","18.5 %",".174",".271",".248",".294",".422",".311","85","0.7","-1.4","-3.5","-0.1","9957"
"2005","Carlos Baerga","Nationals","93","174","2","18","19","0","4.0 %","9.8 %",".082",".273",".253",".318",".335",".296","79","0.4","-4.1","-2.7","-0.1","175"
"2009","Blake DeWitt","Dodgers","31","53","2","4","4","0","5.7 %","13.2 %",".184",".195",".204",".245",".388",".272","62","0.3","-2.2","-0.6","-0.1","7485"
"2007","Carlos Quentin","Diamondbacks","81","263","5","29","31","2","6.8 %","20.5 %",".135",".253",".214",".298",".349",".289","63","0.0","-12.8","3.0","-0.1","6274"
"2001","Rick Wilkins","Padres","12","24","1","3","8","0","8.3 %","33.3 %",".182",".231",".182",".250",".364",".267","62","0.0","-1.2","-0.7","-0.1","1013960"
"2006","Wiki Gonzalez","Nationals","12","38","0","3","2","0","5.3 %","13.2 %",".000",".258",".229",".263",".229",".225","30","0.3","-3.2","0.8","-0.1","1033"
"2000","Mark Smith","Marlins","104","213","5","22","27","2","8.0 %","25.4 %",".130",".311",".245",".310",".375",".302","75","0.4","-6.7","-1.7","-0.1","540"
"2001","Frank Thomas","White Sox","20","79","4","8","10","0","12.7 %","15.2 %",".221",".208",".221",".316",".441",".317","90","0.0","-1.0","-2.9","-0.1","255"
"2005","Jody Gerut","- - -","59","191","1","15","14","1","10.5 %","10.5 %",".094",".280",".253",".330",".347",".302","84","-0.4","-4.3","-3.2","-0.1","1696"
"2008","Ryan Budde","Angels","8","3","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","-0.4","-1.2","0.0","-0.1","3768"
"2000","Carlos Casimiro","Orioles","2","8","0","0","3","0","0.0 %","25.0 %",".125",".167",".125",".125",".250",".156","-19","0.0","-1.3","-0.2","-0.1","1002046"
"2007","Danny Richar","White Sox","56","206","6","30","15","1","7.8 %","16.0 %",".176",".248",".230",".289",".406",".303","77","0.3","-5.8","-2.5","-0.1","3767"
"2009","Jason Repko","Dodgers","10","7","0","1","1","1","0.0 %","28.6 %",".000",".000",".000",".143",".000",".105","-49","0.2","-1.1","-0.3","-0.1","2628"
"2000","Tim Unroe","Braves","4","7","0","0","0","0","14.3 %","28.6 %",".000",".000",".000",".167",".000",".120","-44","0.0","-1.4","-0.1","-0.1","1013284"
"2007","Jason Wood","Marlins","98","127","3","11","26","0","6.3 %","29.9 %",".128",".325",".239",".286",".368",".288","68","0.8","-4.5","-0.8","-0.1","1999"
"2008","Casey McGehee","Cubs","9","25","0","1","5","0","0.0 %","32.0 %",".042",".235",".167",".160",".208",".158","-21","0.0","-3.8","1.9","-0.1","6086"
"2002","Chan Perry","Royals","5","11","0","0","3","0","0.0 %","9.1 %",".000",".100",".091",".091",".091",".081","-73","-0.2","-2.5","1.0","-0.1","1567"
"2002","Jay Canizaro","Twins","38","126","0","14","11","0","7.9 %","17.5 %",".089",".261",".214",".280",".304",".262","53","-0.9","-8.2","2.8","-0.1","722"
"2001","Ken Harvey","Royals","4","12","0","1","2","0","0.0 %","33.3 %",".083",".375",".250",".250",".333",".251","40","-0.4","-1.3","-0.3","-0.1","604"
"2002","Calvin Murray","- - -","48","99","0","16","1","4","7.1 %","17.2 %",".079",".181",".146",".216",".225",".204","11","3.0","-7.8","3.4","-0.1","1262"
"2009","Bobby Wilson","Angels","12","6","0","0","0","0","0.0 %","16.7 %",".200",".250",".200",".200",".400",".252","46","-0.3","-0.7","-0.7","-0.1","6564"
"2002","Chris Magruder","Indians","87","278","6","34","29","2","5.4 %","19.8 %",".136",".251",".217",".261",".353",".266","58","0.8","-13.7","3.1","-0.1","392"
"2009","Juan Castro","Dodgers","57","121","1","18","9","0","5.0 %","20.7 %",".063",".345",".277",".311",".339",".287","72","-0.4","-4.5","-0.6","-0.1","315"
"2001","Chad Allen","Twins","57","195","4","20","20","1","9.7 %","19.0 %",".166",".311",".263",".333",".429",".329","97","-0.7","-1.3","-6.6","-0.1","122"
"2005","Benito Santiago","Pirates","6","23","0","1","0","0","0.0 %","13.0 %",".130",".300",".261",".261",".391",".278","65","-0.3","-1.3","-0.6","-0.1","1130"
"2002","Brandon Inge","Tigers","95","351","7","27","24","1","6.8 %","28.8 %",".131",".271",".202",".266",".333",".266","61","-1.1","-18.0","4.9","-0.1","470"
"2004","Raul Gonzalez","Indians","7","11","0","0","0","0","0.0 %","36.4 %",".000",".143",".091",".091",".091",".081","-66","0.0","-2.3","0.8","-0.1","1553"
"2001","Wes Helms","Braves","100","239","10","28","36","1","8.8 %","23.4 %",".213",".252",".222",".293",".435",".309","85","-0.2","-5.1","-4.0","-0.1","94"
"2009","Jesus Guzman","Giants","12","20","0","0","0","0","0.0 %","15.0 %",".000",".294",".250",".250",".250",".224","29","-0.1","-1.9","0.0","-0.1","3118"
"2001","Tim Raines Jr.","Orioles","7","27","0","6","0","3","11.1 %","29.6 %",".087",".267",".174",".269",".261",".245","47","0.6","-1.2","-0.9","-0.1","1807"
"2000","Cristian Guzman","Twins","156","690","8","89","54","28","6.7 %","14.6 %",".141",".281",".247",".299",".388",".300","69","1.1","-28.4","2.6","-0.1","728"
"2003","Joe Thurston","Dodgers","12","11","0","2","0","0","9.1 %","9.1 %",".000",".222",".200",".273",".200",".226","35","0.1","-0.8","-0.7","-0.1","673"
"2005","John Mabry","Cardinals","112","274","8","26","32","0","7.3 %","23.0 %",".167",".288",".240",".295",".407",".303","83","0.4","-5.6","-4.6","-0.1","1381"
"2001","Trenidad Hubbard","Royals","5","12","0","2","0","0","0.0 %","16.7 %",".167",".300",".250",".250",".417",".278","58","0.0","-0.6","-1.0","-0.1","1036"
"2007","Hiram Bocachica","- - -","33","88","2","11","5","3","8.0 %","20.5 %",".125",".230",".200",".261",".325",".261","57","0.3","-4.5","0.4","-0.1","1404"
"2008","Laynce Nix","Brewers","10","13","0","1","0","0","7.7 %","23.1 %",".000",".111",".083",".154",".083",".123","-38","0.1","-2.2","0.5","-0.1","1766"
"2009","A.J. Ellis","Dodgers","8","10","0","0","1","0","0.0 %","10.0 %",".000",".111",".100",".100",".100",".089","-60","0.0","-2.0","0.5","-0.1","5677"
"2007","Chris Gomez","- - -","92","240","1","21","21","1","4.2 %","10.8 %",".077",".330",".297",".325",".374",".307","83","-3.6","-8.7","-0.8","-0.1","1208"
"2008","Francisco Cervelli","Yankees","3","5","0","0","0","0","0.0 %","60.0 %",".000",".000",".000",".000",".000",".000","-100","-0.4","-1.8","0.4","-0.1","5275"
"2009","John McDonald","Blue Jays","73","156","4","18","13","0","0.6 %","11.5 %",".126",".269",".258",".271",".384",".285","67","-0.1","-6.6","0.1","-0.1","395"
"2002","Jason Romano","- - -","47","101","0","17","5","6","6.9 %","23.8 %",".066",".338",".253",".303",".319",".279","55","2.0","-3.7","-0.9","-0.1","1278"
"2007","Jeff DaVanon","- - -","39","104","0","14","6","1","11.5 %","26.0 %",".056",".297",".213",".308",".270",".270","57","-0.5","-6.2","1.4","-0.1","1440"
"2005","Justin Knoedler","Giants","8","11","0","0","0","0","0.0 %","9.1 %",".000",".111",".100",".182",".100",".148","-22","0.0","-1.7","0.1","-0.1","2223"
"2007","Mark Bellhorn","Reds","13","18","0","2","1","0","22.2 %","27.8 %",".000",".111",".071",".278",".071",".208","12","0.1","-2.0","0.1","-0.1","264"
"2005","Jason Smith","Tigers","27","63","0","4","2","2","0.0 %","25.4 %",".086",".262",".190",".203",".276",".208","20","0.2","-6.0","2.7","-0.1","1227"
"2004","Mike Tonis","Royals","2","7","0","0","0","0","14.3 %","0.0 %",".000",".000",".000",".143",".000",".101","-60","-0.2","-1.6","0.1","-0.1","2083"
"2006","Geovany Soto","Cubs","11","26","0","1","2","0","0.0 %","19.2 %",".040",".250",".200",".231",".240",".213","15","0.3","-2.6","0.5","-0.1","3707"
"2005","Brian Daubach","Mets","15","34","1","4","3","0","20.6 %","14.7 %",".200",".100",".120",".324",".320",".287","72","-0.3","-1.5","-0.8","-0.1","186"
"2001","Cory Aldridge","Braves","8","5","0","1","0","0","0.0 %","80.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.4","0.0","-0.1","1405"
"2009","Tony Clark","Diamondbacks","36","78","4","7","11","0","14.1 %","30.8 %",".242",".205",".182",".295",".424",".314","82","-0.7","-2.4","-1.3","-0.1","182"
"2001","Tom Wilson","Athletics","9","24","2","4","4","0","4.2 %","20.8 %",".286",".133",".190",".250",".476",".299","82","0.0","-0.6","-1.5","-0.1","1328"
"2009","Corky Miller","- - -","35","111","1","9","15","0","10.8 %","20.7 %",".074",".236",".189",".284",".263",".256","46","-0.8","-8.2","3.3","-0.1","342"
"2000","George Williams","Padres","11","17","1","2","2","0","0.0 %","23.5 %",".188",".182",".188",".235",".375",".265","55","0.0","-1.0","-0.8","-0.1","1013999"
"2004","Jason Alfaro","Astros","7","12","0","1","0","0","0.0 %","41.7 %",".000",".333",".182",".182",".182",".162","-16","-0.2","-2.0","0.3","-0.1","2388"
"2003","Humberto Quintero","Padres","12","24","0","1","2","0","4.2 %","25.0 %",".000",".294",".217",".250",".217",".194","14","0.1","-2.5","0.5","-0.1","1824"
"2004","Kevin Cash","Blue Jays","60","197","4","18","21","0","5.1 %","29.9 %",".116",".258",".193",".249",".309",".247","40","-1.7","-16.9","8.9","-0.1","1593"
"2004","Matt Diaz","Devil Rays","10","24","1","3","3","0","4.2 %","25.0 %",".286",".214",".190",".292",".476",".328","96","1.1","1.0","-3.1","-0.1","1771"
"2003","Alex Cora","Dodgers","148","514","4","39","34","4","3.1 %","11.5 %",".088",".276",".249",".287",".338",".274","66","0.5","-21.9","3.8","-0.1","1386"
"2007","Dioner Navarro","Devil Rays","119","434","9","46","44","3","7.6 %","15.4 %",".129",".249",".227",".286",".356",".281","66","-3.0","-21.5","5.2","-0.1","3179"
"2006","Delwyn Young","Dodgers","8","5","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.4","0.0","-0.1","4563"
"2004","Alex Sanchez","Tigers","79","352","2","41","26","19","2.0 %","14.2 %",".063",".374",".322",".335",".386",".316","91","-2.3","-6.3","-7.0","-0.1","708"
"2006","Nate McLouth","Pirates","106","297","7","50","16","10","6.1 %","19.9 %",".152",".273",".233",".293",".385",".296","74","3.4","-6.5","-4.7","-0.1","3190"
"2009","Andy Gonzalez","Marlins","14","12","0","1","0","0","0.0 %","33.3 %",".167",".125",".083",".083",".250",".132","-36","0.1","-1.9","0.3","-0.1","3669"
"2008","Aaron Boone","Nationals","104","255","6","23","28","0","7.1 %","20.4 %",".142",".284",".241",".299",".384",".300","77","-1.1","-8.3","-1.2","-0.1","311"
"2009","Kevin Cash","Yankees","10","28","0","1","3","0","0.0 %","17.9 %",".077",".273",".231",".250",".308",".244","37","0.1","-2.1","-0.1","-0.1","1593"
"2009","Vernon Wells","Blue Jays","158","684","15","84","66","17","7.0 %","12.6 %",".140",".279",".260",".311",".400",".312","84","3.1","-10.3","-14.3","-0.1","1326"
"2003","Gary Bennett","Padres","96","338","2","26","42","3","7.1 %","14.2 %",".068",".274",".238",".296",".306",".268","63","1.3","-14.8","2.4","-0.1","420"
"2002","Chin-Feng Chen","Dodgers","3","6","0","1","0","0","16.7 %","50.0 %",".000",".000",".000",".167",".000",".117","-35","-0.4","-1.4","0.0","-0.1","644"
"2000","Jimmy Rollins","Phillies","14","55","0","5","5","3","3.6 %","12.7 %",".057",".370",".321",".345",".377",".323","85","0.6","-0.5","-2.5","-0.1","971"
"2003","Chris Richard","Rockies","19","30","1","3","3","0","10.0 %","20.0 %",".222",".250",".222",".300",".444",".320","76","-0.9","-1.8","-0.4","-0.1","163"
"2000","Ray Holbert","Royals","3","4","0","0","0","0","0.0 %","50.0 %",".000",".500",".250",".250",".250",".225","17","0.0","-0.5","-1.0","-0.1","1005937"
"2001","Adam Hyzdu","Pirates","51","77","5","7","9","0","5.2 %","23.4 %",".222",".204",".208",".260",".431",".295","74","-0.4","-3.1","-0.7","-0.1","1543"
"2003","Brian Hunter","Astros","56","108","0","13","13","0","5.6 %","19.4 %",".082",".288",".235",".278",".316",".262","51","1.4","-5.4","0.6","-0.1","562"
"2002","Chone Figgins","Angels","15","12","0","6","1","2","0.0 %","41.7 %",".083",".286",".167",".167",".250",".179","0","0.0","-1.5","-0.2","-0.1","1580"
"2007","Ryan Roberts","Blue Jays","8","16","0","2","0","0","12.5 %","43.8 %",".000",".167",".077",".250",".077",".191","6","0.3","-1.6","-0.3","-0.1","5653"
"2004","Donnie Sadler","Diamondbacks","18","24","0","1","0","0","4.2 %","29.2 %",".087",".188",".130",".167",".217",".170","-14","0.3","-3.2","1.1","-0.1","627"
"2006","Matt Lawton","Mariners","11","29","0","5","1","0","6.9 %","6.9 %",".000",".280",".259",".310",".259",".264","56","0.0","-1.7","-0.7","-0.1","390"
"2000","Steve Sisco","Braves","25","30","1","4","2","0","10.0 %","13.3 %",".111",".182",".185",".267",".296",".257","44","0.0","-2.3","-0.1","-0.1","1012016"
"2007","Angel Berroa","Royals","9","13","0","0","1","0","0.0 %","30.8 %",".000",".143",".091",".167",".091",".136","-33","-0.5","-2.7","0.9","-0.1","591"
"2002","Gabe Kapler","- - -","112","342","2","37","34","11","4.7 %","15.5 %",".095",".327",".279",".313",".375",".302","71","2.7","-9.7","-3.0","-0.1","1256"
